GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
projectPOO1,TP1,TShirt.Padrao,0,34,0,0,0,4,0,1,0,1
projectPOO1,TP1,Transportadoras,0,347,0,34,0,83,0,38,0,21
projectPOO1,TP1,Sapatilhas,0,281,0,24,0,66,0,29,0,17
projectPOO1,TP1,Encomenda.Dimensao_Embalagem,0,34,0,0,0,4,0,1,0,1
projectPOO1,TP1,ViewMain,0,230,0,0,0,40,0,12,0,12
projectPOO1,TP1,ControladorArtigo,458,62,22,1,90,21,13,5,0,5
projectPOO1,TP1,Artigo,4,397,3,25,2,102,3,39,0,28
projectPOO1,TP1,Apresentacao,0,89,0,0,0,37,0,17,0,17
projectPOO1,TP1,Artigo.Avaliação,0,34,0,0,0,4,0,1,0,1
projectPOO1,TP1,ControladorEncomenda,227,136,20,15,52,35,17,12,4,6
projectPOO1,TP1,Malas.Tipos_Malas,0,24,0,0,0,3,0,1,0,1
projectPOO1,TP1,Malas,0,254,0,22,0,57,0,26,0,15
projectPOO1,TP1,Sapatilhas.Tipos_Sapatilhas,0,24,0,0,0,3,0,1,0,1
projectPOO1,TP1,Estados,0,47,0,0,0,17,0,3,0,3
projectPOO1,TP1,ControladorTransportadoras,74,35,0,2,14,10,1,4,1,3
projectPOO1,TP1,Controlador,537,53,52,3,121,16,39,3,2,2
projectPOO1,TP1,Utilizador,75,591,23,35,10,143,13,55,1,38
projectPOO1,TP1,Vintage,213,954,28,84,32,202,25,82,7,44
projectPOO1,TP1,Artigo.Estado,0,24,0,0,0,3,0,1,0,1
projectPOO1,TP1,Input,27,162,2,16,8,48,1,15,0,7
projectPOO1,TP1,ControladorUtilizador,136,37,8,4,24,13,6,5,1,3
projectPOO1,TP1,Output,1,271,1,23,0,61,1,21,0,10
projectPOO1,TP1,TShirt.Tamanho,0,44,0,0,0,5,0,1,0,1
projectPOO1,TP1,ViewLogin,0,24,0,0,0,5,0,2,0,2
projectPOO1,TP1,TShirt,0,152,0,16,0,36,0,19,0,11
projectPOO1,TP1,Encomenda.Estado_Encomenda,0,44,0,0,0,5,0,1,0,1
projectPOO1,TP1,VintageAPP,5,15,0,0,2,4,0,2,0,2
projectPOO1,TP1,Encomenda,0,565,1,43,0,122,1,50,0,29
